,season_1,season_2,yr,mnth_0,mnth_1,mnth_2,mnth_3,holiday,weekday,workingday,temp,atemp,hum,windspeed,cnt,weather_1,weather_2,weather_3
0,0,1,0,0,0,0,1,0,6,0,14.110847,18.18125,80.5833,10.749882,985,0,1,0
1,0,1,0,0,0,0,1,0,0,0,14.902598,17.68695,69.6087,16.652113,801,0,1,0
2,0,1,0,0,0,0,1,0,1,1,8.050924,9.47025,43.7273,16.636703,1349,1,0,0
3,0,1,0,0,0,0,1,0,2,1,8.2,10.6061,59.0435,10.739832,1562,1,0,0
4,0,1,0,0,0,0,1,0,3,1,9.305237,11.4635,43.6957,12.5223,1600,1,0,0
5,0,1,0,0,0,0,1,0,4,1,8.378268,11.66045,51.8261,6.0008684,1606,1,0,0
6,0,1,0,0,0,0,1,0,5,1,8.057402,10.44195,49.8696,11.304642,1510,0,1,0
7,0,1,0,0,0,0,1,0,6,0,6.765,8.1127,53.5833,17.875868,959,0,1,0
8,0,1,0,0,0,0,1,0,0,0,5.671653,5.80875,43.4167,24.25065,822,1,0,0
9,0,1,0,0,0,0,1,0,1,1,6.184153,7.5444,48.2917,14.958889,1321,1,0,0
10,0,1,0,0,0,0,1,0,2,1,6.932731,9.5732,68.6364,8.182844,1263,0,1,0
11,0,1,0,0,0,0,1,0,3,1,7.081807,8.02365,59.9545,20.410009,1162,1,0,0
12,0,1,0,0,0,0,1,0,4,1,6.765,7.54415,47.0417,20.167,1406,1,0,0
13,0,1,0,0,0,0,1,0,5,1,6.59567,9.42065,53.7826,8.478716,1421,1,0,0
14,0,1,0,0,0,0,1,0,6,0,9.566653,12.4056,49.875,10.583521,1248,0,1,0
15,0,1,0,0,0,0,1,0,0,0,9.498347,11.71085,48.375,12.625011,1204,1,0,0
16,0,1,0,0,0,0,1,1,1,0,7.209153,8.83855,53.75,12.999139,1000,0,1,0
17,0,1,0,0,0,0,1,0,2,1,8.883347,11.61665,86.1667,9.833925,683,0,1,0
18,0,1,0,0,0,0,1,0,3,1,11.979134,14.9211,74.1739,13.957239,1650,0,1,0
19,0,1,0,0,0,0,1,0,4,1,10.728347,12.7525,53.8333,13.125568,1927,0,1,0
20,0,1,0,0,0,0,1,0,5,1,7.2775,7.89165,45.7083,23.667214,1543,1,0,0
21,0,1,0,0,0,0,1,0,6,0,2.4243464,3.95348,40.0,11.52199,981,1,0,0
22,0,1,0,0,0,0,1,0,0,0,3.9573897,4.941955,43.6522,16.5222,986,1,0,0
23,0,1,0,0,0,0,1,0,1,1,3.9930433,5.8965,49.1739,10.60811,1416,1,0,0
